ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
10725,2017-09-22,Thermal_Coal Lignite,193276.5,1753.0,12540.0,2969.0,16416.5,0.0,19385.5,10.03,173891.0,47680.91,43389.63,24.95,22.45
8746,2017-09-22,Hydro,44765.42,156.4,,63.4,278.0,108.0,449.4,1.0,44316.02,5329.26,5275.97,11.91,11.79
10769,2017-09-22,Thermal_Diesel,837.63,,,,,,,,,,,,
6735,2017-09-22,Thermal_Gas Liquid,25130.88,216.0,,0.0,0.0,324.0,324.0,1.29,24806.88,2449.09,2400.1,9.68,9.55
10774,2017-09-22,Nuclear,6780.0,,,,,,,,,,,,
2430,2017-09-23,Nuclear,6780.0,540.0,,1560.0,1640.0,0.0,3200.0,47.2,3580.0,4105.0,3632.93,101.48,53.58
1987,2017-09-23,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8608,2017-09-23,Hydro,44765.42,1133.9,,706.15,1399.2,1898.5,4003.85,8.94,40761.57,31618.0,31301.82,76.79,69.92
6696,2017-09-23,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9072.06,9152.06,36.42,15978.82,10352.75,10145.69,63.49,40.37
9072,2017-09-23,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9229.0,52523.0,0.0,61752.0,31.95,131524.5,143840.76,130895.09,99.52,67.72
9208,2017-09-24,Thermal_Coal Lignite,193276.5,5814.0,12540.0,8824.0,50693.0,0.0,59517.0,30.79,133759.5,140755.24,128087.27,95.76,66.27
2529,2017-09-24,Nuclear,6780.0,540.0,,1340.0,1640.0,0.0,2980.0,43.95,3800.0,4087.0,3616.99,95.18,53.35
6702,2017-09-24,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9002.96,9082.96,36.14,16047.92,10248.93,10043.95,62.59,39.97
1988,2017-09-24,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8649,2017-09-24,Hydro,44765.42,1098.9,,651.15,1503.0,1618.5,3772.65,8.43,40992.77,31474.95,31160.2,76.01,69.61
1989,2017-09-25,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2530,2017-09-25,Nuclear,6780.0,540.0,,1340.0,1640.0,0.0,2980.0,43.95,3800.0,4082.0,3612.57,95.07,53.28
6614,2017-09-25,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9372.96,9452.96,37.61,15677.92,10432.54,10223.89,65.21,40.68
8670,2017-09-25,Hydro,44765.42,1098.9,,686.15,1526.0,1378.17,3590.32,8.02,41175.1,31933.24,31613.91,76.78,70.62
9221,2017-09-25,Thermal_Coal Lignite,193276.5,5814.0,12540.0,8824.0,50463.0,0.0,59287.0,30.67,133989.5,141701.82,128948.66,96.24,66.72
8535,2017-09-26,Hydro,44765.42,1098.9,,686.15,1366.0,2282.84,4334.99,9.68,40430.43,32416.19,32092.03,79.38,71.69
6676,2017-09-26,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9158.36,9238.36,36.76,15892.52,11242.46,11017.61,69.33,43.84
9299,2017-09-26,Thermal_Coal Lignite,193426.5,5814.0,12690.0,8574.0,49428.0,0.0,58002.0,29.99,135424.5,143853.36,130906.56,96.66,67.68
1990,2017-09-26,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2531,2017-09-26,Nuclear,6780.0,540.0,,1340.0,1640.0,0.0,2980.0,43.95,3800.0,4366.0,3863.91,101.68,56.99
1991,2017-09-27,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6675,2017-09-27,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9164.16,9244.16,36.78,15886.72,12052.09,11811.05,74.35,47.0
8658,2017-09-27,Hydro,44765.42,1098.9,,686.15,1347.0,1686.17,3719.32,8.31,41046.1,31948.93,31629.44,77.06,70.66
9196,2017-09-27,Thermal_Coal Lignite,193426.5,5814.0,12690.0,9384.0,50518.0,0.0,59902.0,30.97,133524.5,143054.25,130179.37,97.49,67.3
2627,2017-09-27,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4409.0,3901.97,97.55,57.55
6686,2017-09-28,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9097.16,9177.16,36.52,15953.72,11880.77,11643.15,72.98,46.33
9043,2017-09-28,Thermal_Coal Lignite,193426.5,5814.0,12690.0,9384.0,53193.0,0.0,62577.0,32.35,130849.5,139650.14,127081.63,97.12,65.7
1992,2017-09-28,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8679,2017-09-28,Hydro,44765.42,1098.9,,686.15,1326.0,1511.17,3523.32,7.87,41242.1,32721.8,32394.58,78.55,72.37
2628,2017-09-28,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4286.79,3793.81,94.85,55.96
8607,2017-09-29,Hydro,44765.42,1098.9,,801.15,1439.0,1764.5,4004.65,8.95,40760.77,30888.02,30579.14,75.02,68.31
3032,2017-09-29,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,4978.79,4406.23,97.05,64.99
8972,2017-09-29,Thermal_Coal Lignite,193426.5,5814.0,12690.0,9594.0,54503.0,0.0,64097.0,33.14,129329.5,139301.96,126764.78,98.02,65.54
1993,2017-09-29,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6705,2017-09-29,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,8989.16,9069.16,36.09,16061.72,11815.23,11578.93,72.09,46.07
8959,2017-09-30,Thermal_Coal Lignite,193426.5,5814.0,12690.0,9134.0,55193.0,0.0,64327.0,33.26,129099.5,137794.6,125393.09,97.13,64.83
3033,2017-09-30,Nuclear,6780.0,540.0,,1140.0,1100.0,0.0,2240.0,33.04,4540.0,4887.79,4325.69,95.28,63.8
1994,2017-09-30,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6706,2017-09-30,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,8989.16,9069.16,36.09,16061.72,10889.2,10671.42,66.44,42.46
